f_304,s_304,f_CR,s_CR,f_2024,s_2024,f_CI,s_CI,f_PMMA,s_PMMA
0.3953,-0.00006195,0.08082,-0.00007808,-0.1452,-0.0001302,0.2421,0.00001737,-0.0484,0.00001189
1.159,0.0001359,0.7084,0.00009644,0.176,0.00001223,0.9303,0.000123,0.02677,0.0003973
1.979,0.00007395,1.399,0.0001683,0.71,0.0002242,1.667,0.0002603,0.1151,0.0008237
2.662,0.0001881,1.768,0.0002095,0.9819,0.000278,2.206,0.0004572,0.1982,0.001376
3.242,0.000343,2.063,0.0002177,1.141,0.0003031,2.656,0.0005778,0.2796,0.001818
3.721,0.0004316,2.325,0.0001441,1.297,0.0004493,3.04,0.0006307,0.3551,0.002243
4.161,0.0002936,2.569,0.000323,1.45,0.0005132,3.356,0.0008311,0.4359,0.002682
4.561,0.0005269,2.81,0.000315,1.619,0.000534,3.639,0.0009031,0.5094,0.003184
4.891,0.0006246,3.046,0.000362,1.786,0.0007192,3.919,0.0009754,0.5843,0.003632
5.186,0.0004639,3.286,0.0003532,1.957,0.000796,4.183,0.001036,0.6553,0.004052
5.474,0.0006835,3.523,0.0004163,2.132,0.0007542,4.442,0.00115,0.7292,0.00455
5.76,0.0006813,3.777,0.0004216,2.314,0.0007903,4.686,0.001203,0.7984,0.004957
6.065,0.0007107,4.025,0.0005346,2.636,0.0008448,4.949,0.001382,0.8695,0.005378
6.305,0.0007977,4.286,0.0004703,2.511,0.0009194,5.191,0.001468,0.9391,0.005864
6.632,0.0007819,4.547,0.0005254,2.897,0.0009437,5.421,0.001494,1.005,0.006251
6.935,0.0008869,4.808,0.0006183,3.593,0.001097,5.611,0.001573,1.073,0.006719
7.228,0.000898,5.067,0.0005947,3.826,0.0013,5.82,0.001603,1.139,0.007117
7.539,0.0009754,5.406,0.0006909,4.087,0.001433,6.028,0.00176,1.204,0.007539
7.836,0.001081,5.633,0.0006337,4.349,0.001484,6.248,0.00173,1.269,0.008086
8.136,0.001116,5.95,0.0006613,4.599,0.0016,6.444,0.001862,1.331,0.008418
8.417,0.001283,6.231,0.0006521,4.854,0.001718,6.66,0.001893,1.394,0.008834
8.686,0.001451,6.541,0.0007935,5.113,0.001739,6.874,0.001959,1.457,0.00927
8.914,0.001801,6.815,0.0007076,5.368,0.001776,7.094,0.002041,1.516,0.009721
9.046,0.002182,7.089,0.0007782,5.625,0.001943,7.328,0.002155,1.577,0.01022
9.1,0.002873,7.355,0.0008306,5.882,0.002025,7.56,0.002278,1.635,0.0106
9.138,0.003631,7.623,0.000758,6.129,0.00212,7.793,0.002303,1.692,0.01102
9.189,0.004265,7.894,0.0009846,6.377,0.002311,8.019,0.002396,1.752,0.01141
9.263,0.004893,8.169,0.0008791,6.628,0.002326,8.257,0.002523,1.809,0.01191
9.336,0.005669,8.451,0.0009654,6.869,0.00227,8.481,0.002621,1.863,0.01235
9.419,0.006263,8.727,0.001024,7.1,0.002489,8.697,0.002605,1.919,0.01278
9.498,0.006833,9.008,0.0009189,7.325,0.002488,8.915,0.002832,1.973,0.01323
9.581,0.007497,9.3,0.001057,7.552,0.002556,9.133,0.002839,2.026,0.01367
9.659,0.008064,9.583,0.001111,7.776,0.002632,9.351,0.00308,2.08,0.01407
9.743,0.008755,9.874,0.00112,8,0.002787,9.572,0.003091,2.131,0.01448
9.825,0.009321,10.17,0.001161,8.229,0.002833,9.79,0.003367,2.18,0.01504
9.902,0.009839,10.46,0.001221,8.452,0.002974,10.01,0.003305,2.233,0.01546
9.984,0.01051,10.76,0.001233,8.681,0.002946,10.23,0.003507,2.28,0.01583
10.06,0.01104,11.06,0.00128,8.91,0.003037,10.44,0.00366,2.327,0.01624
10.13,0.01163,11.37,0.00124,9.142,0.003105,10.66,0.003875,2.377,0.01679
10.22,0.01226,11.67,0.001367,9.375,0.003066,10.87,0.003908,2.422,0.01723
10.28,0.01278,11.98,0.00138,9.603,0.003344,11.09,0.004119,2.467,0.01762
10.36,0.01346,12.3,0.001345,9.841,0.003426,11.3,0.004271,2.512,0.01802
10.43,0.01402,12.61,0.001498,10.07,0.003412,11.51,0.004398,2.554,0.01855
10.5,0.01461,12.93,0.001448,10.31,0.003549,11.72,0.004725,2.597,0.01892
10.57,0.01521,13.24,0.001556,10.55,0.003657,11.92,0.004845,2.635,0.01934
10.64,0.01587,13.56,0.001519,10.79,0.003686,12.13,0.005079,2.674,0.01986
10.71,0.01646,13.88,0.001697,11.02,0.003738,12.33,0.005257,2.713,0.02023
10.78,0.01699,14.21,0.001649,11.27,0.003884,12.53,0.005476,2.75,0.02062
10.84,0.01763,14.54,0.001684,11.51,0.003891,12.72,0.005706,2.784,0.02108
10.91,0.0183,14.85,0.001766,11.75,0.004061,12.91,0.006043,2.82,0.02153
